Designator,Mid X,Mid Y,Rotation,Layer
C1,86.261,-69.7205,180.0,top
C10,104.775,-86.035,270.0,top
C11,104.775,-83.975,90.0,top
C12,92.4607,-80.157,90.0,top
C13,92.4607,-81.991,270.0,top
C2,88.237,-69.7205,0.0,top
C3,91.883,-69.7205,180.0,top
C4,83.439,-85.217,0.0,top
C5,84.2786,-90.071,270.0,top
C6,92.837,-86.233,0.0,top
C7,94.8436,-96.393,90.0,top
C8,102.616,-96.7232,0.0,top
C9,93.887,-69.7205,0.0,top
D1,78.8671,-62.611,0.0,top
D2,81.661,-71.501,90.0,top
DR1,86.521,-74.0385,0.0,top
DR2,92.075,-74.041,0.0,top
DR3,100.4644,-84.9257,270.0,top
DR4,88.011,-80.645,270.0,top
IC2,88.1343,-86.1892,180.0,top
IC3,99.0266,-97.4574,0.0,top
J1,80.4738,-89.378,270.0,top
J2,80.4738,-81.25,270.0,top
J5,81.3502,-97.3882,0.0,top
J6,89.7696,-97.3882,0.0,top
LED1,94.208,-89.577,0.0,top
Q1,90.5347,-91.2261,0.0,top
Q10,95.189,-80.0155,180.0,top
Q2,86.6485,-91.2413,180.0,top
Q3,99.5727,-56.5298,180.0,top
Q4,99.5735,-60.071,180.0,top
Q5,99.5735,-63.763,180.0,top
Q6,99.5735,-67.437,180.0,top
Q7,99.5625,-70.927,180.0,top
Q8,99.6206,-74.553,180.0,top
Q9,99.6206,-78.227,180.0,top
R1,103.7674,-91.2488,90.0,top
R10,95.631,-92.073,90.0,top
R11,103.7674,-93.7146,90.0,top
R12,95.631,-94.107,90.0,top
R13,103.7674,-88.8338,270.0,top
R14,89.533,-93.599,0.0,top
R15,102.5906,-95.5294,180.0,top
R16,78.357,-64.135,180.0,top
R17,78.105,-72.7456,90.0,top
R18,95.7635,-64.013,270.0,top
R19,97.0335,-64.521,90.0,top
R2,97.0335,-57.3644,90.0,top
R20,95.7635,-67.569,270.0,top
R21,97.0335,-68.197,90.0,top
R22,104.267,-68.199,0.0,top
R23,104.267,-69.723,0.0,top
R24,95.631,-76.327,270.0,top
R25,94.2112,-83.6743,270.0,top
R26,96.7685,-71.689,90.0,top
R27,96.901,-74.041,90.0,top
R28,99.187,-80.645,0.0,top
R29,96.139,-83.185,270.0,top
R3,94.2594,-99.1616,90.0,top
R4,95.7635,-57.155,270.0,top
R5,95.7269,-60.4018,270.0,top
R6,96.9623,-60.7978,90.0,top
R7,92.9667,-92.0737,270.0,top
R8,84.2968,-92.103,90.0,top
R9,84.963,-93.599,180.0,top
SW1,99.695,-91.44,0.0,top
